Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Home_Win
Wed Nov 10 2010,7:00p,Milwaukee Bucks,108,Atlanta Hawks,91,Box Score,,11211,,0
Wed Nov 10 2010,7:00p,Utah Jazz,104,Orlando Magic,94,Box Score,,18846,,0
Wed Nov 10 2010,7:00p,Charlotte Bobcats,101,Toronto Raptors,96,Box Score,,14309,,0
Wed Nov 10 2010,7:00p,Houston Rockets,91,Washington Wizards,98,Box Score,,13665,,1
Wed Nov 10 2010,7:30p,New Jersey Nets,95,Cleveland Cavaliers,87,Box Score,,20562,,0
Wed Nov 10 2010,7:30p,Golden State Warriors,122,New York Knicks,117,Box Score,,19763,,0
Wed Nov 10 2010,8:00p,Dallas Mavericks,106,Memphis Grizzlies,91,Box Score,,10767,,0
Wed Nov 10 2010,8:00p,Philadelphia 76ers,103,Oklahoma City Thunder,109,Box Score,,18203,,1
Wed Nov 10 2010,9:30p,Los Angeles Clippers,95,San Antonio Spurs,107,Box Score,,17309,,1
Wed Nov 10 2010,10:00p,Minnesota Timberwolves,98,Sacramento Kings,89,Box Score,,12433,,0
Thu Nov 11 2010,8:00p,Golden State Warriors,90,Chicago Bulls,120,Box Score,,21140,,1
Thu Nov 11 2010,8:00p,Boston Celtics,112,Miami Heat,107,Box Score,,19650,,0
Thu Nov 11 2010,10:30p,Los Angeles Lakers,112,Denver Nuggets,118,Box Score,,19155,,1
Fri Nov 12 2010,7:00p,Utah Jazz,90,Atlanta Hawks,86,Box Score,,17069,,0
Fri Nov 12 2010,7:00p,Houston Rockets,102,Indiana Pacers,99,Box Score,,14414,,0
Fri Nov 12 2010,7:00p,Toronto Raptors,110,Orlando Magic,106,Box Score,,18846,,0
Fri Nov 12 2010,7:00p,Charlotte Bobcats,93,Washington Wizards,85,Box Score,,14855,,0
Fri Nov 12 2010,8:00p,New York Knicks,103,Minnesota Timberwolves,112,Box Score,,15232,,1
Fri Nov 12 2010,8:30p,Philadelphia 76ers,90,Dallas Mavericks,99,Box Score,,19989,,1
Fri Nov 12 2010,9:00p,Sacramento Kings,89,Phoenix Suns,103,Box Score,,18029,,1
Fri Nov 12 2010,9:30p,Portland Trail Blazers,108,Oklahoma City Thunder,110,Box Score,,18203,,1
Fri Nov 12 2010,10:30p,Detroit Pistons,113,Los Angeles Clippers,107,Box Score,OT,16960,,0
Sat Nov 13 2010,7:00p,Utah Jazz,96,Charlotte Bobcats,95,Box Score,,15486,,0
Sat Nov 13 2010,7:00p,Orlando Magic,91,New Jersey Nets,90,Box Score,,15086,,0
Sat Nov 13 2010,7:30p,Indiana Pacers,99,Cleveland Cavaliers,85,Box Score,,20562,,0
Sat Nov 13 2010,7:30p,Toronto Raptors,100,Miami Heat,109,Box Score,,19600,,1
Sat Nov 13 2010,8:00p,Washington Wizards,96,Chicago Bulls,103,Box Score,,21610,,1
Sat Nov 13 2010,8:00p,Boston Celtics,116,Memphis Grizzlies,110,Box Score,OT,18119,,0
Sat Nov 13 2010,8:00p,Portland Trail Blazers,87,New Orleans Hornets,107,Box Score,,14706,,1
Sat Nov 13 2010,8:30p,Golden State Warriors,72,Milwaukee Bucks,79,Box Score,,17049,,1
Sat Nov 13 2010,8:30p,Philadelphia 76ers,93,San Antonio Spurs,116,Box Score,,17627,,1
Sun Nov 14 2010,2:00p,Minnesota Timberwolves,105,Atlanta Hawks,111,Box Score,,12027,,1
Sun Nov 14 2010,6:00p,Detroit Pistons,100,Sacramento Kings,94,Box Score,,12377,,0
Sun Nov 14 2010,7:00p,San Antonio Spurs,117,Oklahoma City Thunder,104,Box Score,,18203,,0
Sun Nov 14 2010,7:30p,Houston Rockets,104,New York Knicks,96,Box Score,,19763,,0
