Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Home_Win
Fri Mar 25 2016,8:00p,Milwaukee Bucks,90,Atlanta Hawks,101,Box Score,,17070,,1
Fri Mar 25 2016,8:00p,Toronto Raptors,109,Houston Rockets,112,Box Score,,18230,,1
Fri Mar 25 2016,8:00p,Orlando Magic,97,Miami Heat,108,Box Score,,19918,,1
Fri Mar 25 2016,8:30p,Memphis Grizzlies,104,San Antonio Spurs,110,Box Score,,18418,,1
Fri Mar 25 2016,10:00p,Phoenix Suns,94,Sacramento Kings,116,Box Score,,17317,,1
Fri Mar 25 2016,10:30p,Dallas Mavericks,120,Golden State Warriors,128,Box Score,,19596,,1
Fri Mar 25 2016,10:30p,Denver Nuggets,116,Los Angeles Lakers,105,Box Score,,18997,,0
Sat Mar 26 2016,6:00p,Indiana Pacers,110,Brooklyn Nets,120,Box Score,,16625,,1
Sat Mar 26 2016,7:00p,Toronto Raptors,115,New Orleans Pelicans,91,Box Score,,17009,,0
Sat Mar 26 2016,7:00p,Chicago Bulls,89,Orlando Magic,111,Box Score,,18846,,1
Sat Mar 26 2016,7:30p,Atlanta Hawks,112,Detroit Pistons,95,Box Score,,17857,,0
Sat Mar 26 2016,7:30p,Cleveland Cavaliers,107,New York Knicks,93,Box Score,,19812,,0
Sat Mar 26 2016,8:00p,Utah Jazz,93,Minnesota Timberwolves,84,Box Score,,14694,,0
Sat Mar 26 2016,8:00p,San Antonio Spurs,92,Oklahoma City Thunder,111,Box Score,,18203,,1
Sat Mar 26 2016,8:30p,Charlotte Hornets,115,Milwaukee Bucks,91,Box Score,,15544,,0
Sat Mar 26 2016,10:00p,Boston Celtics,102,Phoenix Suns,99,Box Score,,18055,,0
Sat Mar 26 2016,10:00p,Philadelphia 76ers,105,Portland Trail Blazers,108,Box Score,,19506,,1
Sun Mar 27 2016,3:30p,Denver Nuggets,90,Los Angeles Clippers,105,Box Score,,19060,,1
Sun Mar 27 2016,6:00p,Houston Rockets,101,Indiana Pacers,104,Box Score,,17165,,1
Sun Mar 27 2016,6:00p,Dallas Mavericks,111,Sacramento Kings,133,Box Score,,17147,,1
Sun Mar 27 2016,8:00p,Philadelphia 76ers,105,Golden State Warriors,117,Box Score,,19596,,1
Sun Mar 27 2016,9:30p,Washington Wizards,101,Los Angeles Lakers,88,Box Score,,18997,,0
Mon Mar 28 2016,7:30p,Brooklyn Nets,99,Miami Heat,110,Box Score,,20003,,1
Mon Mar 28 2016,7:30p,Oklahoma City Thunder,119,Toronto Raptors,100,Box Score,,19800,,0
Mon Mar 28 2016,8:00p,Atlanta Hawks,102,Chicago Bulls,100,Box Score,,21761,,0
Mon Mar 28 2016,8:00p,San Antonio Spurs,101,Memphis Grizzlies,87,Box Score,,17133,,0
Mon Mar 28 2016,8:00p,Phoenix Suns,116,Minnesota Timberwolves,121,Box Score,,11141,,1
Mon Mar 28 2016,8:00p,New York Knicks,91,New Orleans Pelicans,99,Box Score,,17000,,1
Mon Mar 28 2016,9:00p,Dallas Mavericks,97,Denver Nuggets,88,Box Score,,14844,,0
Mon Mar 28 2016,9:00p,Los Angeles Lakers,75,Utah Jazz,123,Box Score,,19911,,1
Mon Mar 28 2016,10:00p,Sacramento Kings,93,Portland Trail Blazers,105,Box Score,,19393,,1
Mon Mar 28 2016,10:30p,Boston Celtics,90,Los Angeles Clippers,114,Box Score,,19258,,1
Tue Mar 29 2016,7:00p,Chicago Bulls,98,Indiana Pacers,96,Box Score,,17050,,0
Tue Mar 29 2016,7:00p,Brooklyn Nets,105,Orlando Magic,139,Box Score,,17536,,1
Tue Mar 29 2016,7:00p,Charlotte Hornets,100,Philadelphia 76ers,85,Box Score,,14486,,0
Tue Mar 29 2016,7:30p,Oklahoma City Thunder,82,Detroit Pistons,88,Box Score,,18201,,1
Tue Mar 29 2016,8:00p,Houston Rockets,106,Cleveland Cavaliers,100,Box Score,,20562,,0
Tue Mar 29 2016,10:30p,Washington Wizards,94,Golden State Warriors,102,Box Score,,19596,,1
Wed Mar 30 2016,7:30p,Atlanta Hawks,97,Toronto Raptors,105,Box Score,,19800,,1
Wed Mar 30 2016,8:00p,Denver Nuggets,109,Memphis Grizzlies,105,Box Score,,16401,,0
Wed Mar 30 2016,8:00p,Phoenix Suns,94,Milwaukee Bucks,105,Box Score,,15733,,1
Wed Mar 30 2016,8:00p,Los Angeles Clippers,99,Minnesota Timberwolves,79,Box Score,,12252,,0
Wed Mar 30 2016,8:30p,New York Knicks,89,Dallas Mavericks,91,Box Score,,20435,,1
Wed Mar 30 2016,8:30p,New Orleans Pelicans,92,San Antonio Spurs,100,Box Score,,18418,,1
Wed Mar 30 2016,9:00p,Golden State Warriors,103,Utah Jazz,96,Box Score,OT,19911,,0
Wed Mar 30 2016,10:00p,Washington Wizards,111,Sacramento Kings,120,Box Score,,17185,,1
Wed Mar 30 2016,10:30p,Miami Heat,100,Los Angeles Lakers,102,Box Score,OT,18997,,1
Thu Mar 31 2016,7:00p,Brooklyn Nets,87,Cleveland Cavaliers,107,Box Score,,20562,,1
Thu Mar 31 2016,7:00p,Chicago Bulls,103,Houston Rockets,100,Box Score,,18244,,0
Thu Mar 31 2016,7:00p,Orlando Magic,114,Indiana Pacers,94,Box Score,,17234,,0
Thu Mar 31 2016,8:00p,Denver Nuggets,95,New Orleans Pelicans,101,Box Score,,16269,,1
Thu Mar 31 2016,9:30p,Los Angeles Clippers,117,Oklahoma City Thunder,119,Box Score,,18203,,1
Thu Mar 31 2016,10:00p,Boston Celtics,109,Portland Trail Blazers,116,Box Score,,19393,,1
Fri Apr 1 2016,7:00p,Philadelphia 76ers,91,Charlotte Hornets,100,Box Score,,19244,,1
Fri Apr 1 2016,7:30p,Dallas Mavericks,98,Detroit Pistons,89,Box Score,,19031,,0
Fri Apr 1 2016,7:30p,Brooklyn Nets,91,New York Knicks,105,Box Score,,19812,,1
Fri Apr 1 2016,8:00p,Cleveland Cavaliers,110,Atlanta Hawks,108,Box Score,OT,19427,,0
Fri Apr 1 2016,8:00p,Toronto Raptors,99,Memphis Grizzlies,95,Box Score,,17077,,0
Fri Apr 1 2016,8:00p,Orlando Magic,110,Milwaukee Bucks,113,Box Score,,16268,,1
Fri Apr 1 2016,9:00p,Minnesota Timberwolves,85,Utah Jazz,98,Box Score,,19911,,1
Fri Apr 1 2016,10:00p,Miami Heat,112,Sacramento Kings,106,Box Score,,17317,,0
Fri Apr 1 2016,10:30p,Boston Celtics,109,Golden State Warriors,106,Box Score,,19596,,0
Fri Apr 1 2016,10:30p,Washington Wizards,106,Phoenix Suns,99,Box Score,,17345,,0
Sat Apr 2 2016,7:30p,Indiana Pacers,115,Philadelphia 76ers,102,Box Score,,19213,,0
Sat Apr 2 2016,8:00p,Detroit Pistons,94,Chicago Bulls,90,Box Score,,22197,,0
Sat Apr 2 2016,8:30p,Toronto Raptors,95,San Antonio Spurs,102,Box Score,,18418,,1
Sat Apr 2 2016,9:00p,Sacramento Kings,115,Denver Nuggets,106,Box Score,,15607,,0
Sat Apr 2 2016,10:00p,Miami Heat,93,Portland Trail Blazers,110,Box Score,,19633,,1
Sun Apr 3 2016,1:00p,New Orleans Pelicans,106,Brooklyn Nets,87,Box Score,,16329,,0
Sun Apr 3 2016,3:30p,Charlotte Hornets,103,Cleveland Cavaliers,112,Box Score,,20562,,1
Sun Apr 3 2016,3:30p,Oklahoma City Thunder,110,Houston Rockets,118,Box Score,,18462,,1
Sun Apr 3 2016,3:30p,Washington Wizards,109,Los Angeles Clippers,114,Box Score,,19060,,1
Sun Apr 3 2016,3:30p,Dallas Mavericks,88,Minnesota Timberwolves,78,Box Score,,16117,,0
Sun Apr 3 2016,6:00p,Memphis Grizzlies,107,Orlando Magic,119,Box Score,,17741,,1
Sun Apr 3 2016,6:00p,Utah Jazz,101,Phoenix Suns,86,Box Score,,17279,,0
Sun Apr 3 2016,7:00p,Chicago Bulls,102,Milwaukee Bucks,98,Box Score,,15768,,0
Sun Apr 3 2016,7:30p,Indiana Pacers,92,New York Knicks,87,Box Score,,19812,,0
Sun Apr 3 2016,8:00p,Portland Trail Blazers,111,Golden State Warriors,136,Box Score,,19596,,1
Sun Apr 3 2016,9:30p,Boston Celtics,107,Los Angeles Lakers,100,Box Score,,18997,,0
Tue Apr 5 2016,7:00p,New Orleans Pelicans,93,Philadelphia 76ers,107,Box Score,,10978,,1
Tue Apr 5 2016,7:30p,Charlotte Hornets,90,Toronto Raptors,96,Box Score,,19800,,1
Tue Apr 5 2016,8:00p,Phoenix Suns,90,Atlanta Hawks,103,Box Score,,15176,,1
Tue Apr 5 2016,8:00p,Chicago Bulls,92,Memphis Grizzlies,108,Box Score,,17591,,1
Tue Apr 5 2016,8:00p,Detroit Pistons,89,Miami Heat,107,Box Score,,19621,,1
Tue Apr 5 2016,8:00p,Cleveland Cavaliers,109,Milwaukee Bucks,80,Box Score,,15061,,0
Tue Apr 5 2016,9:00p,Oklahoma City Thunder,124,Denver Nuggets,102,Box Score,,12611,,0
Tue Apr 5 2016,9:00p,San Antonio Spurs,88,Utah Jazz,86,Box Score,,19381,,0
Tue Apr 5 2016,10:00p,Portland Trail Blazers,115,Sacramento Kings,107,Box Score,,17317,,0
Tue Apr 5 2016,10:30p,Minnesota Timberwolves,124,Golden State Warriors,117,Box Score,OT,19596,,0
Tue Apr 5 2016,10:30p,Los Angeles Lakers,81,Los Angeles Clippers,103,Box Score,,19537,,1
Wed Apr 6 2016,7:00p,Cleveland Cavaliers,109,Indiana Pacers,123,Box Score,,18165,,1
Wed Apr 6 2016,7:00p,Detroit Pistons,108,Orlando Magic,104,Box Score,,16553,,0
Wed Apr 6 2016,7:00p,Brooklyn Nets,103,Washington Wizards,121,Box Score,,16846,,1
Wed Apr 6 2016,7:30p,New Orleans Pelicans,97,Boston Celtics,104,Box Score,,18624,,1
Wed Apr 6 2016,7:30p,Charlotte Hornets,111,New York Knicks,97,Box Score,,19812,,0
Wed Apr 6 2016,9:30p,Houston Rockets,86,Dallas Mavericks,88,Box Score,,20108,,1
Wed Apr 6 2016,10:00p,Oklahoma City Thunder,115,Portland Trail Blazers,120,Box Score,,19393,,1
Wed Apr 6 2016,10:30p,Los Angeles Clippers,91,Los Angeles Lakers,81,Box Score,,18997,,0
Thu Apr 7 2016,8:00p,Toronto Raptors,87,Atlanta Hawks,95,Box Score,,17864,,1
Thu Apr 7 2016,8:00p,Phoenix Suns,124,Houston Rockets,115,Box Score,,18227,,0
Thu Apr 7 2016,8:00p,Chicago Bulls,98,Miami Heat,106,Box Score,,19771,,1
Thu Apr 7 2016,10:00p,Minnesota Timberwolves,105,Sacramento Kings,97,Box Score,,17317,,0
Thu Apr 7 2016,10:30p,San Antonio Spurs,101,Golden State Warriors,112,Box Score,,19596,,1
Fri Apr 8 2016,7:00p,Brooklyn Nets,99,Charlotte Hornets,113,Box Score,,18337,,1
Fri Apr 8 2016,7:00p,Miami Heat,109,Orlando Magic,112,Box Score,,18152,,1
Fri Apr 8 2016,7:00p,New York Knicks,109,Philadelphia 76ers,102,Box Score,,16076,,0
Fri Apr 8 2016,7:30p,Milwaukee Bucks,109,Boston Celtics,124,Box Score,,18624,,1
Fri Apr 8 2016,7:30p,Washington Wizards,99,Detroit Pistons,112,Box Score,,18207,,1
Fri Apr 8 2016,7:30p,Indiana Pacers,98,Toronto Raptors,111,Box Score,,19800,,1
Fri Apr 8 2016,8:00p,Los Angeles Lakers,102,New Orleans Pelicans,110,Box Score,,18607,,1
Fri Apr 8 2016,8:30p,Memphis Grizzlies,93,Dallas Mavericks,103,Box Score,,20211,,1
Fri Apr 8 2016,9:00p,San Antonio Spurs,98,Denver Nuggets,102,Box Score,,16347,,1
Fri Apr 8 2016,9:00p,Los Angeles Clippers,102,Utah Jazz,99,Box Score,OT,19911,,0
Sat Apr 9 2016,7:00p,Phoenix Suns,121,New Orleans Pelicans,100,Box Score,,16932,,0
Sat Apr 9 2016,7:30p,Boston Celtics,107,Atlanta Hawks,118,Box Score,,19257,,1
Sat Apr 9 2016,8:00p,Golden State Warriors,100,Memphis Grizzlies,99,Box Score,,18119,,0
Sat Apr 9 2016,8:30p,Cleveland Cavaliers,102,Chicago Bulls,105,Box Score,,22186,,1
Sat Apr 9 2016,10:30p,Minnesota Timberwolves,106,Portland Trail Blazers,105,Box Score,,19733,,0
Sat Apr 9 2016,10:30p,Oklahoma City Thunder,112,Sacramento Kings,114,Box Score,,17317,,1
Sun Apr 10 2016,12:00p,Charlotte Hornets,98,Washington Wizards,113,Box Score,,19187,,1
Sun Apr 10 2016,3:30p,Los Angeles Lakers,110,Houston Rockets,130,Box Score,,18442,,1
Sun Apr 10 2016,3:30p,Dallas Mavericks,91,Los Angeles Clippers,98,Box Score,,19170,,1
Sun Apr 10 2016,5:00p,Utah Jazz,100,Denver Nuggets,84,Box Score,,16172,,0
Sun Apr 10 2016,5:00p,Milwaukee Bucks,109,Philadelphia 76ers,108,Box Score,OT,16267,,0
Sun Apr 10 2016,6:00p,Brooklyn Nets,105,Indiana Pacers,129,Box Score,,18165,,1
Sun Apr 10 2016,6:00p,Orlando Magic,96,Miami Heat,118,Box Score,,19913,,1
Sun Apr 10 2016,7:00p,Golden State Warriors,92,San Antonio Spurs,86,Box Score,,18658,,0
Sun Apr 10 2016,7:30p,Toronto Raptors,93,New York Knicks,89,Box Score,,19812,,0
Mon Apr 11 2016,7:00p,Atlanta Hawks,94,Cleveland Cavaliers,109,Box Score,,20562,,1
Mon Apr 11 2016,7:00p,Milwaukee Bucks,98,Orlando Magic,107,Box Score,,18374,,1
Mon Apr 11 2016,7:30p,Charlotte Hornets,114,Boston Celtics,100,Box Score,,18624,,0
Mon Apr 11 2016,7:30p,Washington Wizards,120,Brooklyn Nets,111,Box Score,,14653,,0
Mon Apr 11 2016,8:00p,Houston Rockets,129,Minnesota Timberwolves,105,Box Score,,14983,,0
Mon Apr 11 2016,8:00p,Chicago Bulls,121,New Orleans Pelicans,116,Box Score,,16867,,0
Mon Apr 11 2016,8:00p,Los Angeles Lakers,79,Oklahoma City Thunder,112,Box Score,,18203,,1
Mon Apr 11 2016,9:00p,Dallas Mavericks,101,Utah Jazz,92,Box Score,,19911,,0
Mon Apr 11 2016,10:00p,Sacramento Kings,105,Phoenix Suns,101,Box Score,,17288,,0
Tue Apr 12 2016,7:00p,New York Knicks,90,Indiana Pacers,102,Box Score,,17906,,1
Tue Apr 12 2016,7:30p,Miami Heat,99,Detroit Pistons,93,Box Score,,18575,,0
Tue Apr 12 2016,7:30p,Philadelphia 76ers,98,Toronto Raptors,122,Box Score,,19800,,1
Tue Apr 12 2016,8:00p,Oklahoma City Thunder,98,San Antonio Spurs,102,Box Score,OT,18765,,1
Tue Apr 12 2016,10:30p,Memphis Grizzlies,84,Los Angeles Clippers,110,Box Score,,19147,,1
Wed Apr 13 2016,8:00p,Miami Heat,88,Boston Celtics,98,Box Score,,18624,,1
Wed Apr 13 2016,8:00p,Toronto Raptors,103,Brooklyn Nets,96,Box Score,,16517,,0
Wed Apr 13 2016,8:00p,Philadelphia 76ers,105,Chicago Bulls,115,Box Score,,21777,,1
Wed Apr 13 2016,8:00p,Orlando Magic,103,Charlotte Hornets,117,Box Score,,17372,,1
Wed Apr 13 2016,8:00p,Detroit Pistons,112,Cleveland Cavaliers,110,Box Score,OT,20562,,0
Wed Apr 13 2016,8:00p,San Antonio Spurs,96,Dallas Mavericks,91,Box Score,,20346,,0
Wed Apr 13 2016,8:00p,Sacramento Kings,81,Houston Rockets,116,Box Score,,18311,,1
Wed Apr 13 2016,8:00p,Indiana Pacers,97,Milwaukee Bucks,92,Box Score,,16569,,0
Wed Apr 13 2016,8:00p,New Orleans Pelicans,109,Minnesota Timberwolves,144,Box Score,,14889,,1
Wed Apr 13 2016,8:00p,Atlanta Hawks,98,Washington Wizards,109,Box Score,,17399,,1
Wed Apr 13 2016,10:30p,Memphis Grizzlies,104,Golden State Warriors,125,Box Score,,19596,,1
Wed Apr 13 2016,10:30p,Utah Jazz,96,Los Angeles Lakers,101,Box Score,,18997,,1
Wed Apr 13 2016,10:30p,Los Angeles Clippers,105,Phoenix Suns,114,Box Score,,18055,,1
Wed Apr 13 2016,10:30p,Denver Nuggets,99,Portland Trail Blazers,107,Box Score,,19571,,1
Sat Apr 16 2016,12:30p,Indiana Pacers,100,Toronto Raptors,90,Box Score,,19800,,0
Sat Apr 16 2016,3:30p,Houston Rockets,78,Golden State Warriors,104,Box Score,,19596,,1
Sat Apr 16 2016,7:00p,Boston Celtics,101,Atlanta Hawks,102,Box Score,,18980,,1
Sat Apr 16 2016,9:30p,Dallas Mavericks,70,Oklahoma City Thunder,108,Box Score,,18203,,1
Sun Apr 17 2016,3:00p,Detroit Pistons,101,Cleveland Cavaliers,106,Box Score,,20562,,1
Sun Apr 17 2016,5:30p,Charlotte Hornets,91,Miami Heat,123,Box Score,,19600,,1
Sun Apr 17 2016,8:00p,Memphis Grizzlies,74,San Antonio Spurs,106,Box Score,,18418,,1
Sun Apr 17 2016,10:30p,Portland Trail Blazers,95,Los Angeles Clippers,115,Box Score,,19122,,1
Mon Apr 18 2016,7:00p,Indiana Pacers,87,Toronto Raptors,98,Box Score,,19800,,1
Mon Apr 18 2016,8:00p,Dallas Mavericks,85,Oklahoma City Thunder,84,Box Score,,18203,,0
Mon Apr 18 2016,10:30p,Houston Rockets,106,Golden State Warriors,115,Box Score,,19596,,1
Tue Apr 19 2016,7:00p,Boston Celtics,72,Atlanta Hawks,89,Box Score,,18972,,1
Tue Apr 19 2016,9:30p,Memphis Grizzlies,68,San Antonio Spurs,94,Box Score,,18418,,1
Wed Apr 20 2016,7:00p,Charlotte Hornets,103,Miami Heat,115,Box Score,,19650,,1
Wed Apr 20 2016,8:00p,Detroit Pistons,90,Cleveland Cavaliers,107,Box Score,,20562,,1
Wed Apr 20 2016,10:30p,Portland Trail Blazers,81,Los Angeles Clippers,102,Box Score,,19127,,1
Thu Apr 21 2016,7:00p,Oklahoma City Thunder,131,Dallas Mavericks,102,Box Score,,20150,,0
Thu Apr 21 2016,7:30p,Toronto Raptors,101,Indiana Pacers,85,Box Score,,18165,,0
Thu Apr 21 2016,9:30p,Golden State Warriors,96,Houston Rockets,97,Box Score,,18200,,1
Fri Apr 22 2016,7:00p,Cleveland Cavaliers,101,Detroit Pistons,91,Box Score,,21584,,0
Fri Apr 22 2016,8:00p,Atlanta Hawks,103,Boston Celtics,111,Box Score,,18624,,1
Fri Apr 22 2016,9:30p,San Antonio Spurs,96,Memphis Grizzlies,87,Box Score,,18119,,0
Sat Apr 23 2016,3:00p,Toronto Raptors,83,Indiana Pacers,100,Box Score,,18165,,1
Sat Apr 23 2016,5:30p,Miami Heat,80,Charlotte Hornets,96,Box Score,,19604,,1
Sat Apr 23 2016,8:00p,Oklahoma City Thunder,119,Dallas Mavericks,108,Box Score,,20516,,0
Sat Apr 23 2016,10:30p,Los Angeles Clippers,88,Portland Trail Blazers,96,Box Score,,19761,,1
Sun Apr 24 2016,1:00p,San Antonio Spurs,116,Memphis Grizzlies,95,Box Score,,18119,,0
Sun Apr 24 2016,3:30p,Golden State Warriors,121,Houston Rockets,94,Box Score,,18200,,0
Sun Apr 24 2016,6:00p,Atlanta Hawks,95,Boston Celtics,104,Box Score,OT,18624,,1
Sun Apr 24 2016,8:30p,Cleveland Cavaliers,100,Detroit Pistons,98,Box Score,,21584,,0
Mon Apr 25 2016,7:00p,Miami Heat,85,Charlotte Hornets,89,Box Score,,19156,,1
Mon Apr 25 2016,8:00p,Dallas Mavericks,104,Oklahoma City Thunder,118,Box Score,,18203,,1
Mon Apr 25 2016,10:30p,Los Angeles Clippers,84,Portland Trail Blazers,98,Box Score,,19607,,1
Tue Apr 26 2016,6:00p,Indiana Pacers,99,Toronto Raptors,102,Box Score,,19800,,1
Tue Apr 26 2016,8:30p,Boston Celtics,83,Atlanta Hawks,110,Box Score,,18987,,1
Wed Apr 27 2016,8:00p,Charlotte Hornets,90,Miami Heat,88,Box Score,,19685,,0
Wed Apr 27 2016,10:00p,Portland Trail Blazers,108,Los Angeles Clippers,98,Box Score,,19060,,0
Wed Apr 27 2016,10:30p,Houston Rockets,81,Golden State Warriors,114,Box Score,,19596,,1
Thu Apr 28 2016,8:00p,Atlanta Hawks,104,Boston Celtics,92,Box Score,,18624,,0
Fri Apr 29 2016,7:30p,Toronto Raptors,83,Indiana Pacers,101,Box Score,,18165,,1
Fri Apr 29 2016,8:00p,Miami Heat,97,Charlotte Hornets,90,Box Score,,19636,,0
Fri Apr 29 2016,10:30p,Los Angeles Clippers,103,Portland Trail Blazers,106,Box Score,,19768,,1
Sat Apr 30 2016,8:30p,Oklahoma City Thunder,92,San Antonio Spurs,124,Box Score,,18418,,1
Sun May 1 2016,1:00p,Charlotte Hornets,73,Miami Heat,106,Box Score,,19868,,1
Sun May 1 2016,3:30p,Portland Trail Blazers,106,Golden State Warriors,118,Box Score,,19596,,1
Sun May 1 2016,8:00p,Indiana Pacers,84,Toronto Raptors,89,Box Score,,20669,,1
Mon May 2 2016,7:00p,Atlanta Hawks,93,Cleveland Cavaliers,104,Box Score,,20562,,1
Mon May 2 2016,9:30p,Oklahoma City Thunder,98,San Antonio Spurs,97,Box Score,,18418,,0
Tue May 3 2016,8:00p,Miami Heat,102,Toronto Raptors,96,Box Score,OT,19800,,0
Tue May 3 2016,10:30p,Portland Trail Blazers,99,Golden State Warriors,110,Box Score,,19596,,1
Wed May 4 2016,8:00p,Atlanta Hawks,98,Cleveland Cavaliers,123,Box Score,,20562,,1
Thu May 5 2016,8:00p,Miami Heat,92,Toronto Raptors,96,Box Score,OT,20906,,1
Fri May 6 2016,7:00p,Cleveland Cavaliers,121,Atlanta Hawks,108,Box Score,,19089,,0
Fri May 6 2016,9:30p,San Antonio Spurs,100,Oklahoma City Thunder,96,Box Score,,18203,,0
Sat May 7 2016,5:00p,Toronto Raptors,95,Miami Heat,91,Box Score,,19675,,0
Sat May 7 2016,8:30p,Golden State Warriors,108,Portland Trail Blazers,120,Box Score,,19673,,1
Sun May 8 2016,3:30p,Cleveland Cavaliers,100,Atlanta Hawks,99,Box Score,,19031,,0
Sun May 8 2016,8:00p,San Antonio Spurs,97,Oklahoma City Thunder,111,Box Score,,18203,,1
Mon May 9 2016,8:00p,Toronto Raptors,87,Miami Heat,94,Box Score,OT,19600,,1
Mon May 9 2016,10:30p,Golden State Warriors,132,Portland Trail Blazers,125,Box Score,OT,19583,,0
Tue May 10 2016,8:00p,Oklahoma City Thunder,95,San Antonio Spurs,91,Box Score,,18418,,0
Wed May 11 2016,8:00p,Miami Heat,91,Toronto Raptors,99,Box Score,,20155,,1
Wed May 11 2016,10:30p,Portland Trail Blazers,121,Golden State Warriors,125,Box Score,,19596,,1
Thu May 12 2016,8:30p,San Antonio Spurs,99,Oklahoma City Thunder,113,Box Score,,18203,,1
Fri May 13 2016,8:00p,Toronto Raptors,91,Miami Heat,103,Box Score,,19757,,1
Sun May 15 2016,3:30p,Miami Heat,89,Toronto Raptors,116,Box Score,,20257,,1
Mon May 16 2016,9:00p,Oklahoma City Thunder,108,Golden State Warriors,102,Box Score,,19596,,0
Tue May 17 2016,8:30p,Toronto Raptors,84,Cleveland Cavaliers,115,Box Score,,20562,,1
Wed May 18 2016,9:00p,Oklahoma City Thunder,91,Golden State Warriors,118,Box Score,,19596,,1
Thu May 19 2016,8:30p,Toronto Raptors,89,Cleveland Cavaliers,108,Box Score,,20562,,1
Sat May 21 2016,8:30p,Cleveland Cavaliers,84,Toronto Raptors,99,Box Score,,20207,,1
Sun May 22 2016,8:00p,Golden State Warriors,105,Oklahoma City Thunder,133,Box Score,,18203,,1
Mon May 23 2016,8:30p,Cleveland Cavaliers,99,Toronto Raptors,105,Box Score,,20367,,1
Tue May 24 2016,9:00p,Golden State Warriors,94,Oklahoma City Thunder,118,Box Score,,18203,,1
Wed May 25 2016,8:30p,Toronto Raptors,78,Cleveland Cavaliers,116,Box Score,,20562,,1
Thu May 26 2016,9:00p,Oklahoma City Thunder,111,Golden State Warriors,120,Box Score,,19596,,1
Fri May 27 2016,8:30p,Cleveland Cavaliers,113,Toronto Raptors,87,Box Score,,20605,,0
Sat May 28 2016,9:00p,Golden State Warriors,108,Oklahoma City Thunder,101,Box Score,,18203,,0
Mon May 30 2016,9:00p,Oklahoma City Thunder,88,Golden State Warriors,96,Box Score,,19596,,1
Thu Jun 2 2016,9:00p,Cleveland Cavaliers,89,Golden State Warriors,104,Box Score,,19596,,1
Sun Jun 5 2016,8:00p,Cleveland Cavaliers,77,Golden State Warriors,110,Box Score,,19596,,1
Wed Jun 8 2016,9:00p,Golden State Warriors,90,Cleveland Cavaliers,120,Box Score,,20562,,1
Fri Jun 10 2016,9:00p,Golden State Warriors,108,Cleveland Cavaliers,97,Box Score,,20562,,0
Mon Jun 13 2016,9:00p,Cleveland Cavaliers,112,Golden State Warriors,97,Box Score,,19596,,0
Thu Jun 16 2016,9:00p,Golden State Warriors,101,Cleveland Cavaliers,115,Box Score,,20562,,1
Sun Jun 19 2016,8:00p,Cleveland Cavaliers,93,Golden State Warriors,89,Box Score,,19596,,0
Tue Oct 25 2016,7:30p,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,20562,,1
Tue Oct 25 2016,10:00p,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,19446,,1
Tue Oct 25 2016,10:30p,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,19596,,0
Wed Oct 26 2016,7:00p,Dallas Mavericks,121,Indiana Pacers,130,Box Score,OT,17923,,1
Wed Oct 26 2016,7:00p,Miami Heat,108,Orlando Magic,96,Box Score,,19298,,0
Wed Oct 26 2016,7:30p,Brooklyn Nets,117,Boston Celtics,122,Box Score,,18624,,1
Wed Oct 26 2016,7:30p,Detroit Pistons,91,Toronto Raptors,109,Box Score,,19800,,1
Wed Oct 26 2016,8:00p,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,15869,,0
Wed Oct 26 2016,8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,18717,,0
Wed Oct 26 2016,8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,18119,,1
Wed Oct 26 2016,8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,20487,,0
Wed Oct 26 2016,10:00p,Sacramento Kings,113,Phoenix Suns,94,Box Score,,18055,,0
Wed Oct 26 2016,10:30p,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,18997,,1
Thu Oct 27 2016,7:30p,Washington Wizards,99,Atlanta Hawks,114,Box Score,,19049,,1
Thu Oct 27 2016,8:00p,Boston Celtics,99,Chicago Bulls,105,Box Score,,21501,,1
Thu Oct 27 2016,10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,19500,,0
Thu Oct 27 2016,10:30p,San Antonio Spurs,102,Sacramento Kings,94,Box Score,,17608,,0
Fri Oct 28 2016,7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,Box Score,,19800,,0
Fri Oct 28 2016,7:30p,Indiana Pacers,94,Brooklyn Nets,103,Box Score,,17732,,1
Fri Oct 28 2016,7:30p,Orlando Magic,82,Detroit Pistons,108,Box Score,,19122,,1
Fri Oct 28 2016,8:00p,Phoenix Suns,110,Oklahoma City Thunder,113,Box Score,OT,18203,,1
Fri Oct 28 2016,8:00p,Charlotte Hornets,97,Miami Heat,91,Box Score,,19600,,0
Fri Oct 28 2016,8:30p,Houston Rockets,106,Dallas Mavericks,98,Box Score,,20163,,0
Fri Oct 28 2016,9:00p,Los Angeles Lakers,89,Utah Jazz,96,Box Score,,19911,,1
